order_id,order_date,order_status,customer_id,customer_email,product_name,product_sku,quantity,unit_price_gbp,discount_gbp,subtotal_gbp,shipping_gbp,order_total_gbp,attributed_channel,attributed_campaign,attributed_source,session_id,payment_method,is_new_customer,coupon_code
ORD-77388,2024/03/30,COMPLETED,usr_60186,customer9034@gmail.com,Eye Cream 15ml,LB-104,4,30.86,14.18,109.26,3.99,113.25,email,Retargeting_Cart_Feb24,meta,,,1,
ORD-63808,,cancelled,usr_81640,customer9638@gmail.com,Retinol Night Cream,LB-869,1,32.69,0,32.69,3.99,36.68,referral,abandoned_cart_1,google,,,false,
ORD-38379,2024/11/02,completed,usr_41883,customer5211@gmail.com,Hyaluronic Acid Serum,LB-970,1,41.61,0,41.61,0,41.61,Paid_Search,Brand_KW_Exact ,email,sess_663983,klarna,,WELCOME15
ORD-64474,14/08/2024,COMPLETED,usr_72605,customer1906@gmail.com,Cleansing Balm,LB-681,1,21.62,0,,0,21.62,organic_search,,Google,sess_409728,card,0,
ORD-56276,14-Nov-2024,completed,usr_32187,customer2980@gmail.com,SPF50 Drops,,4,21.39,11.69,73.87,0,73.87,email,Competitor_KW_BMM,(direct),sess_249300,klarna,1,
ORD-55806,18/03/2024,pending,usr_85908,customer5446@hotmail.co.uk,SPF50 Drops,LB-801,2,67.29,0,134.58,0,134.58,,Awareness_Serum_Jan24 ,,sess_518920,CARD,0,WELCOME15
ORD-79996,2024/08/27,Refunded,usr_85940,customer1734@hotmail.co.uk,Hyaluronic Acid Serum,LB-312,,58.58,0,175.74,0,175.74,EMAIL,RLSA_CartAbandoners,google,sess_744872,Klarna,1,
ORD-81972,09/04/2024,pending,usr_85062,customer7644@gmail.com,Vitamin C Serum 30ml,LB-341,4,25.75,0,103.0,3.99,106.99,Paid_Search,VIP_Early_Access,(direct),sess_571779,,false,
ORD-63883,03/10/2024,,usr_26033,customer1494@gmail.com,SPF50 Drops,LB-274,3,68.98,0,206.94,0,206.94,EMAIL,Shopping_Moisturisers,,sess_898965,klarna,,
ORD-63021,04-05-2024,completed,usr_73690,customer68@gmail.com,Vitamin C Serum 30ml,LB-836,2,16.95,0,33.9,0,33.9,paid_social,Monthly_Newsletter_Mar,Google,sess_268635,Card,1,GLOW20
ORD-50377,11-12-2024,completed,usr_69846,customer2622@gmail.com,Vitamin C Serum 30ml,LB-863,1,22.22,0,22.22,4.99,27.21,Paid_Search,DSA_AllProducts,META,sess_709453,,TRUE,WELCOME15
ORD-98569,25/08/2024,pending,usr_76289,customer5402@gmail.com,Hyaluronic Acid Serum,LB-570,1,65.67,0,65.67,6.99,72.66,email,Brand_KW_Exact ,Google,sess_462229,klarna,TRUE,
ORD-55235,27-Sep-2024,Completed,usr_47983,customer3616@gmail.com,Cleansing Balm,LB-719,2,65.71,5.44,125.98,0,125.98,,Welcome_Series_2,Google,,PayPal,TRUE,
ORD-77554,23/07/2024,,usr_99955,customer1360@gmail.com,Glow Cream 50ml,LB-339,2,21.65%,0,43.3,0,43.3,paid_search,Awareness_Serum_Jan24,Google,sess_263137,Card,,VIP25
ORD-65972,11/07/2024,completed,usr_17221,,Peptide Moisturiser,LB-414,1,67.41,13.38,54.03,0,54.03,email,Brand_KW_Exact ,Google,sess_427937,Klarna,0,WELCOME15
ORD-10542,08-05-2024,completed,usr_75025,,Glow Cream 50ml,LB-619,1,67.04,0,67.04,6.99,74.03,EMAIL,Generic_Skincare_Broad,meta,sess_155975,paypal,0,GLOW20
ORD-84387,16-May-2024,,usr_62933,customer7498@hotmail.co.uk,Niacinamide Toner,LB-773,4,60.2,0,240.8,0,240.8,email,DSA_AllProducts,,sess_519569,Card,,
ORD-32020,2024-07-15,Refunded,usr_92819,customer4919@gmail.com,Eye Cream 15ml,,3,26.06,0,78.18,3.99,82.17,organic_search,NULL,,,Card,0,
ORD-20654,2024/07/03,Completed,usr_20235,customer2857@hotmail.co.uk,Face Mask Set,LB-695,3,55.42,5.34,160.92,6.99,167.91,EMAIL,,google,sess_109690,Klarna,1,
ORD-32335,02-23-2024,Refunded,usr_57266,customer9756@gmail.com,Niacinamide Toner,LB-925,1,47.28,9.53,37.75,3.99,41.74,direct,,email,sess_459731,,0,VIP25
ORD-48971,01-31-2024,Completed,usr_99897,customer2455@gmail.com,Peptide Moisturiser,LB-667,2,32.82,0,65.64,6.99,72.63,Paid_Search,Conversion_NightCream_Q3,meta,sess_816057,paypal,true,
ORD-74379,24/06/2024,completed,usr_62909,customer4650@hotmail.co.uk,Peptide Moisturiser,LB-782,4,47.07,0,188.28,3.99,192.27,paid_social,Abandoned_Cart_1,Google,sess_524514,CARD,0,
ORD-96527,25-Jun-2024,completed,usr_11347,customer379@gmail.com,Hyaluronic Acid Serum,LB-111,4,21.05,0,84.2,0,84.2,paid_social,,,sess_511546,card,1,SUMMER10
ORD-97305,09-Jul-2024,cancelled,usr_46888,customer9255@gmail.com,Cleansing Balm,LB-590,4,33.58,0,134.32,0,134.32,email,Competitor_KW_BMM,meta,sess_420775,klarna,,VIP25
ORD-82802,10/06/2024,completed,usr_39278,customer8918@gmail.com,Hyaluronic Acid Serum,LB-739,2,68.41,0,,4.99,141.81,,Abandoned_Cart_1,google,sess_605283,,true,
ORD-89501,05/04/2024,COMPLETED,usr_46834,customer699@hotmail.co.uk,Glow Cream 50ml,LB-519,1,73.2,10.61,62.59,6.99,69.58,Paid_Search,Shopping_Moisturisers,meta,sess_721957,klarna,FALSE,GLOW20
ORD-41239,27-Mar-2024,completed,usr_29265,customer5480@gmail.com,Face Mask Set,LB-154,2,73.68,,138.48$,,142.47,organic_search,,,sess_180606,CARD,0,
ORD-67026,13/10/2024,completed,usr_19519,customer5399@gmail.com,Vitamin C Serum 30ml,LB-992,1,55.89,0,55.89,3.99,,paid_social,Prospecting_Glow_Mar24,email,sess_778682,CARD,0,SUMMER10
ORD-27219,20/01/2024,completed,usr_20232,customer9523@hotmail.co.uk,Niacinamide Toner,LB-266,3,30.72,0,92.16,0,92.16,organic_search,Prospecting_Glow_Mar24,unknown,sess_805853,PayPal,,
ORD-72720,2024/01/21,refunded,usr_46767,customer2146@hotmail.co.uk,Glow Cream 50ml,LB-170,1,66.5,0,66.5,4.99,71.49,,,unknown,sess_590563,Klarna,0,
ORD-57970,2024/05/01,Refunded,usr_94077,customer1501@gmail.com,SPF50 Drops,LB-168,2,18.62,0,37.24,0,37.24,,Competitor_KW_BMM,tiktok,sess_377963,Klarna,true,VIP25
ORD-67013,2024/09/18,completed,usr_23345,customer3151@gmail.com,Eye Cream 15ml,LB-239,4,41.8,0,167.2,4.99,172.19,paid_social,,bing,sess_887303,,1,
ORD-58515,27/11/2024,completed,usr_23417,customer1341@gmail.com,Peptide Moisturiser,LB-310,1,35.21,0,35.21,6.99,42.2,,,Google,sess_932176,PayPal,0,SUMMER10
ORD-93097,03/01/2024,Refunded,usr_49974,customer7404@hotmail.co.uk,Retinol Night Cream,LB-153,2,28.01,0,56.02,0,56.02,organic_search,,,,paypal,,
ORD-92707,2024-03-19,pending,usr_87401,customer235@hotmail.co.uk,Retinol Night Cream,LB-625,2,37.97,0,75.94,3.99,79.93,EMAIL,Welcome_Series_1,meta,sess_653493,klarna,0,VIP25
ORD-80540,12-28-2024,Refunded,usr_36682,customer667@hotmail.co.uk,Niacinamide Toner,LB-418,3,47.07,3.68,137.53,0,137.53,EMAIL,Brand_KW_Exact,pinterest,sess_257165,Card,FALSE,VIP25
ORD-98436,15-Jun-2024,Completed,usr_41781,customer4050@gmail.com,Peptide Moisturiser,LB-441,3,52.66,0,157.98,4.99,162.97,paid_social,Abandoned_Cart_1 ,Google,sess_242076,PayPal,1,VIP25
ORD-79975,2024/07/24,refunded,usr_41498,customer297@gmail.com,Glow Cream 50ml,LB-514,2,79.82,0,159.64,6.99,166.63,paid_social,,tiktok,sess_173076,paypal,1,
ORD-42904,,pending,usr_77738,customer9674@hotmail.co.uk,SPF50 Drops,LB-514,1,79.3,7.81,71.49,0,71.49,referral,Brand_KW_Exact ,,sess_367701,klarna,false,
ORD-58792,2024-05-22,completed,usr_56644,customer9599@gmail.com,Peptide Moisturiser,LB-643,2,45.99,0,91.98,0,91.98,,Monthly_Newsletter_Mar,Google,sess_309389,card,,GLOW20
ORD-83992,23/06/2024,completed,usr_12780,customer1256@gmail.com,SPF50 Drops,LB-811,4,60.45,7.62,234.18,6.99,241.17,paid_social,Monthly_Newsletter_Feb,unknown,sess_897865,card,false,SUMMER10
ORD-21105,10-18-2024,Refunded,usr_53632,customer491@hotmail.co.uk,Glow Cream 50ml,LB-624,,57.49,4.03,225.93,0,225.93,organic_search,Brand_KW_Exact ,unknown,sess_914561,,,
ORD-83543,02-08-2024,completed,usr_16832,customer906@gmail.com,Retinol Night Cream,LB-189,2,61.93,7.91,115.95,0,115.95,paid_search,Flash_Sale_48hr,tiktok,sess_761557,Card,FALSE,WELCOME15
ORD-22044,22-Jan-2024,refunded,usr_68196,customer68@hotmail.co.uk,Peptide Moisturiser,LB-616,4,66.9,,260.26,0,260.26,direct,Conversion_NightCream_Q3,google,sess_791703,PayPal,1,
ORD-99884,2024-01-03,pending,usr_67313,customer4815@hotmail.co.uk,SPF50 Drops,LB-180,1,66.47,0,66.47,6.99,,paid social,Shopping_Moisturisers,Google,sess_695083,card,true,
ORD-80522,04-Jun-2024,,usr_95765,customer6990@gmail.com,Vitamin C Serum 30ml,,3,51.86,0,155.58,3.99,159.57,Paid_Search,,tiktok,sess_593158,card,false,SUMMER10
ORD-87353,2024/10/01,completed,usr_75343,customer4198@hotmail.co.uk,Hyaluronic Acid Serum,LB-957,3,61.7 ,0,185.1,0,185.1,direct,Flash_Sale_48hr,(direct),sess_375913,CARD,1,WELCOME15
ORD-90964,2024-06-07,completed,usr_34323,customer3883@gmail.com,Vitamin C Serum 30ml,,1,76.6,0,76.6,3.99,80.59,referral,Retargeting_Cart_Feb24,google,sess_179115,PayPal,1,
ORD-84682,2024/01/18,Completed,usr_16066,customer7068@gmail.com,Vitamin C Serum 30ml,LB-772,4,,13.28,269.96,4.99,274.95 ,,Generic_Skincare_Broad,tiktok,sess_602858,paypal,TRUE,GLOW20
ORD-71082,12-27-2024,completed,usr_41883,customer9769@gmail.com,Peptide Moisturiser,,4,71.99,0,287.96,6.99,294.95,EMAIL,,meta,sess_476854,paypal,1,SUMMER10
ORD-42739,26-Apr-2024,completed,usr_20501,customer4472@gmail.com,Retinol Night Cream,LB-544,3,72.84,9.76,208.76,6.99,215.75,direct,Retargeting_Cart_Feb24,bing,sess_240635,Klarna,TRUE,
ORD-18175,2024/10/20,Refunded,,customer4326@gmail.com,Retinol Night Cream,LB-923,1,73.7,0,73.7,,80.69,paid social,Conversion_NightCream_Q3,META,sess_639437,,1,WELCOME15
ORD-98448,22-Sep-2024,completed,usr_17048,customer7486@gmail.com,Niacinamide Toner,LB-633,2,38.91,3.95,73.87,6.99,80.86,organic_search,Win_Back_90Day,unknown,,,1,SUMMER10
ORD-36100,18/04/2024,COMPLETED,usr_77049,customer2505@hotmail.co.uk,,LB-816,3,81.08,0,243.24,0,243.24,organic_search,Shopping_Serums,pinterest,sess_426174,klarna,false,VIP25
ORD-25591,2024-03-23,completed,usr_13135,customer8420@gmail.com,Eye Cream 15ml,LB-674,1,41.79,3.0,38.79,0,38.79,email,RLSA_CartAbandoners,pinterest,sess_109264,paypal,0,
ORD-66823,07/04/2024,cancelled,usr_95114,customer4229@gmail.com,,LB-882,1,66.36,0,66.36,6.99,73.35,direct,Shopping_Serums,email,sess_909283,PayPal,TRUE,
ORD-45066,24-Mar-2024,completed,usr_53057,,Peptide Moisturiser,LB-416,-2,21.74,0,43.48,6.99,50.47,paid_social,,bing,sess_347772,,0,VIP25
ORD-68309,2024-08-03,pending,usr_78482,customer5495@gmail.com,Glow Cream 50ml,LB-675,1,26.92,0,26.92,3.99,30.91,referral,LookAlike_SPF_Apr24,(direct),sess_686173,CARD,1,WELCOME15
ORD-17256,21/03/2024,refunded,usr_65485,customer6160@gmail.com,SPF50 Drops,LB-537,2,46.68,0,93.36,0,93.36,organic_search,,email,sess_644182,,,
ORD-68328,2024/05/21,,usr_63715,customer3851@gmail.com,Hyaluronic Acid Serum,LB-695,1,35.42,0,35.42,3.99,39.41,organic_search,BRAND_Awareness_Q2,Google,sess_391310,Klarna,false,
ORD-43079,26/06/2024,COMPLETED,usr_89094,customer7514@gmail.com,Peptide Moisturiser,LB-903,-1,56.29,4.88,51.41,0,51.41%,paid_social,,,sess_596802,paypal,0,
ORD-51258,2024/08/15,refunded,usr_82293,customer2262@gmail.com,Face Mask Set,LB-373,2,34.23,0,68.46,0,68.46,email,Welcome_Series_1,META,sess_131015,CARD,0,SUMMER10
ORD-39578,05-31-2024,completed,usr_19405,customer6704@gmail.com,Eye Cream 15ml,LB-475,-2,41.16,2.79,79.53,,79.53,paid_social,DPA_AllProducts_Q4,,sess_430819,paypal,false,GLOW20
ORD-30319,17-Oct-2024,pending,usr_86106,customer4946@gmail.com,Vitamin C Serum 30ml,LB-185,1,17.71,0,17.71,3.99,21.7,Paid_Search,Monthly_Newsletter_Feb,Google,sess_859974,paypal,0,
ORD-77122,07-Oct-2024,COMPLETED,usr_22970,customer6603@hotmail.co.uk,Retinol Night Cream,LB-717,3,55.2,0,165.6,0,165.6,,Competitor_KW_BMM,,sess_693953,,,WELCOME15
ORD-77192,2024/03/31,COMPLETED,usr_68023,customer5644@gmail.com,Hyaluronic Acid Serum,LB-558,,18.26,0,,3.99,40.51,organic_search,Welcome_Series_1,,sess_754263,klarna,,WELCOME15
ORD-65222,2024/05/26,pending,usr_32152,customer1662@gmail.com,Glow Cream 50ml,LB-919,3,45.82,1.32,136.14,0,136.14,paid_search,Welcome_Series_1,META,sess_260129,paypal,0,GLOW20
ORD-95591,23-Aug-2024,cancelled,usr_58927,customer9626@gmail.com,Retinol Night Cream,LB-899,1,19.75,0,19.75,4.99,24.74,paid social,DPA_AllProducts_Q4,(direct),sess_624550,CARD,,
ORD-85614,12-Apr-2024,pending,usr_49734,customer3668@gmail.com,Face Mask Set,LB-825,2,49.15$,0,98.3,0,98.3,paid social,,META,sess_926520,Klarna,,VIP25
ORD-26986,2024/01/18,completed,usr_18741,customer1603@gmail.com,Face Mask Set,LB-717,1,58.96,0,58.96,0,58.96,email,brand_kw_exact,tiktok,sess_529902,card,false,
ORD-30688,2024-12-26,COMPLETED,usr_28509,customer2819@gmail.com,,LB-935,3,,0,153.6,4.99,158.59,email,UGC_Serum_Test,Google,sess_683918,Card,,
ORD-64125,20-May-2024,pending,usr_41595,customer7233@gmail.com,Retinol Night Cream,LB-135,1,71.9,0,71.9,0,71.9,email,Flash_Sale_48hr,bing,sess_596636,,TRUE,
ORD-10634,2024/12/29,completed,usr_21511,customer492@hotmail.co.uk,Retinol Night Cream,LB-403,1,57.57,,49.93,0,49.93,Paid_Search,Welcome_Series_1,tiktok,sess_300221,,false,VIP25
ORD-18120,23-Nov-2024,refunded,usr_59017,customer9935@hotmail.co.uk,Glow Cream 50ml,LB-236,,20.48,0,81.92,4.99,86.91,EMAIL,Monthly_Newsletter_Mar,,sess_653773,card,false,GLOW20
ORD-32450,2024/12/19,Completed,usr_99982,customer4671@gmail.com,Glow Cream 50ml,LB-920,4,43.35,6.37,167.03,0,167.03,paid social,brand_kw_exact,(direct),sess_321391,,1,
ORD-16516,06-02-2024,completed,usr_53690,customer8671@hotmail.co.uk,Retinol Night Cream,LB-913,1,61.12,0,61.12,,65.11,organic_search,Prospecting_Glow_Mar24,Google,sess_250637,paypal,0,GLOW20
ORD-95322,08-20-2024,completed,usr_76341,customer5497@gmail.com,Niacinamide Toner,LB-592,3,38.07,0,114.21,0,114.21,direct,Monthly_Newsletter_Feb,(direct),sess_427494,klarna,0,SUMMER10
ORD-78044,2024/09/25,completed,usr_98659,customer9724@gmail.com,Cleansing Balm,LB-969,2,77.92,0,155.84,6.99,162.83,,,,sess_237829,Card,0,WELCOME15
ORD-26904,2024/07/26,completed,usr_53522,customer5900@gmail.com,Cleansing Balm,LB-187,1,46.33,0,46.33,6.99,53.32,email,Abandoned_Cart_1 ,Google,sess_736520,paypal,false,
ORD-30786,23-Jul-2024,cancelled,usr_52233,customer4895@gmail.com,Peptide Moisturiser,LB-688,-3,29.82,0,89.46,0,89.46,Paid_Search,Monthly_Newsletter_Mar,,sess_621940,klarna,FALSE,SUMMER10
ORD-88075,27/12/2024,COMPLETED,usr_90058,customer6698@hotmail.co.uk,Peptide Moisturiser,LB-905,3,75.93,9.42,218.37,4.99,223.36,organic_search,,meta,sess_100077,paypal,0,
ORD-49026,2024/03/10,completed,usr_84658,customer6899@gmail.com,Cleansing Balm,,2,71.51,0,143.02,,143.02,paid social,Monthly_Newsletter_Jan,,sess_433093,PayPal,FALSE,
ORD-74774,30-Jan-2024,Completed,usr_68176,customer670@gmail.com,Peptide Moisturiser,LB-319,3,17.49,0,52.47,0,52.47,referral,,pinterest,sess_407976,,1,
ORD-22023,2024-05-26,completed,usr_34053,customer8951@gmail.com,Niacinamide Toner,LB-131,1,50.38,0,50.38,3.99,54.37 ,Paid_Search,Prospecting_Glow_Mar24,,sess_872949,,true,GLOW20
ORD-10961,2024-11-06,completed,usr_62914,customer6618@gmail.com,SPF50 Drops,LB-598,1,74.62,0,74.62,0,74.62,,Prospecting_Glow_Mar24,,,Card,FALSE,GLOW20
ORD-89508,08/02/2024,Refunded,usr_88859,customer9539@gmail.com,Niacinamide Toner,,2,33.38,0,66.76,4.99,71.75,,Abandoned_Cart_2,google,sess_975867,PayPal,false,
ORD-56213,2024/12/29,completed,usr_70617,customer8125@gmail.com,Cleansing Balm,LB-492,4,39.46,0,157.84,0,157.84,referral,,META,sess_923261,paypal,1,
ORD-61309,09-01-2024,completed,usr_21711,customer2577@gmail.com,Eye Cream 15ml,LB-465,1,21.02,10.13,10.89,0,10.89,,,(direct),sess_304857,Card,FALSE,SUMMER10
ORD-38575,07-26-2024,pending,usr_28378,customer7894@gmail.com,Peptide Moisturiser,LB-843,4,34.32,0,137.28,0,137.28,referral,,(direct),sess_272957,,,
ORD-61723,11-Jun-2024,completed,,customer9087@hotmail.co.uk,Retinol Night Cream,LB-958,4,81.49,11.34,314.62,6.99,321.61,Paid_Search,Monthly_Newsletter_Feb,bing,sess_376992,,true,
ORD-28699,19/08/2024,COMPLETED,usr_78847,customer2007@gmail.com,Face Mask Set,LB-543,3,21.57,0,64.71,4.99,69.7,,,meta,sess_147615,Card,1,VIP25
ORD-90390,10-11-2024,completed,,customer1550@gmail.com,Peptide Moisturiser,LB-316,2,33.93,0,67.86,6.99,74.85,Paid_Search,RLSA_CartAbandoners,meta,sess_324350,Klarna,0,
ORD-94039,09-09-2024,completed,usr_87610,customer5911@gmail.com,Glow Cream 50ml,LB-678,2,49.92,0,99.84,6.99,106.83,EMAIL,Generic_Skincare_Broad,unknown,sess_395112,card,0,
ORD-40937,08-21-2024,completed,usr_36279,customer1657@hotmail.co.uk,Glow Cream 50ml,LB-389,,36.71,0,73.42,0,73.42 ,referral,DSA_AllProducts,tiktok,sess_212104,card,1,
ORD-47468,29/12/2024,Refunded,usr_11929,customer7294@gmail.com,Retinol Night Cream,,2,54.64,0,109.28,6.99,116.27 ,paid social,Flash_Sale_48hr,bing,sess_726115,Card,,SUMMER10
ORD-20824,12-20-2024,completed,usr_38042,customer9651@gmail.com,SPF50 Drops,LB-355,4,64.57,0,258.28,0,,paid social,DSA_AllProducts,Google,sess_926785,CARD,0,
ORD-81055,2024-02-24,COMPLETED,usr_96496,customer2124@hotmail.co.uk,Face Mask Set,LB-440,2,59.05,0,118.1 ,4.99,123.09,paid_social,DPA_AllProducts_Q4,Google,sess_320685,,1,SUMMER10
ORD-56150,2024-03-20,pending,,customer6996@gmail.com,Glow Cream 50ml,LB-750,1,22.5,0,22.5,6.99,29.49,,,,sess_230809,card,,
ORD-61712,11/01/2024,cancelled,usr_29333,customer1388@gmail.com,Face Mask Set,LB-968,4,59.22,0.13,236.75,0,236.75,referral,Generic_Skincare_Broad,email,sess_384115,,1,
ORD-49226,10-18-2024,Completed,usr_55399,customer6913@hotmail.co.uk,Face Mask Set,LB-329,1,31.75,0,31.75,3.99,35.74,organic_search,UGC_Serum_Test,unknown,sess_932441,Klarna,,SUMMER10
ORD-24764,03/01/2024,Refunded,usr_12248,customer3058@gmail.com,Glow Cream 50ml,LB-333,2,28.9,0,57.8,6.99,64.79,email,Flash_Sale_48hr,pinterest,sess_349539,PayPal,true,GLOW20
ORD-30830,2024/11/21,refunded,usr_75490,customer5102@hotmail.co.uk,Hyaluronic Acid Serum,LB-925,3,29.76 ,0,89.28,3.99,93.27,EMAIL,Flash_Sale_48hr,(direct),sess_984533,PayPal,0,GLOW20
ORD-84744,2024-12-10,refunded,usr_60941,customer3017@gmail.com,Peptide Moisturiser,LB-762,1,18.89,0,18.89,0,18.89,email,Awareness_Serum_Jan24 ,unknown,sess_641591,CARD,FALSE,GLOW20
ORD-49370,02-11-2024,completed,usr_17342,customer5835@gmail.com,Niacinamide Toner,LB-391,4,18.25,0,73.0,0,73.0,paid_search,RLSA_CartAbandoners,pinterest,sess_538385,CARD,TRUE,
ORD-10561,2024/02/26,pending,usr_59216,customer3457@hotmail.co.uk,Cleansing Balm,LB-341,2,72.85,0,145.7,0,145.7,referral,Competitor_KW_BMM,tiktok,sess_611385,PayPal,TRUE,VIP25
ORD-24944,30/07/2024,cancelled,usr_99815,customer2988@gmail.com,Face Mask Set,LB-697,4,78.44,0,313.76,0,313.76,direct,,(direct),sess_895330,paypal,FALSE,SUMMER10
ORD-33992,02-Oct-2024,Completed,usr_40950,customer269@gmail.com,SPF50 Drops,LB-201,3,50.91,0,152.73,0,152.73,,abandoned_cart_1,(direct),sess_739578,paypal,false,
ORD-39401,2024/10/17,pending,usr_78272,customer5079@hotmail.co.uk,,LB-593,3,42.08,0,126.24,0,126.24,,Shopping_Moisturisers,tiktok,,klarna,FALSE,
ORD-54960,,cancelled,usr_98964,,SPF50 Drops,LB-874,4,44.19,0,176.76,3.99,180.75,Paid_Search,Brand_KW_Exact ,,sess_311791,card,1,
ORD-97738,2024-07-18,completed,usr_92302,customer5585@gmail.com,Retinol Night Cream,LB-367,3,64.24,8.94,183.78,,188.77,,,tiktok,sess_144113,klarna,1,SUMMER10
ORD-56124,2024/01/11,completed,usr_48460,customer5015@gmail.com,Niacinamide Toner,LB-544,1,58.62,0,58.62,6.99,65.61,email,Awareness_Serum_Jan24,meta,sess_808358,,1,
ORD-81363,21/04/2024,completed,usr_71455,customer746@gmail.com,Hyaluronic Acid Serum,LB-168,2,30.41,0,60.82$,4.99,65.81,EMAIL,Abandoned_Cart_1,Google,sess_409505,CARD,0,
ORD-34061,,completed,usr_58373,customer460@gmail.com,Hyaluronic Acid Serum,LB-540,2,,0,113.26,0,113.26,paid_social,Shopping_Serums,META,sess_601097,paypal,0,GLOW20
ORD-25478,08-23-2024,completed,usr_77197,customer6103@gmail.com,Vitamin C Serum 30ml,LB-662,3,45.69,0,137.07,0,137.07,EMAIL,,bing,sess_176629,Card,TRUE,
ORD-49325,2024/05/26,Completed,usr_22658,customer6860@gmail.com,Peptide Moisturiser,LB-425,2,82.28,0,164.56,0,164.56,referral,,META,,card,true,VIP25
ORD-66720,2024/02/27,refunded,usr_70353,customer5548@gmail.com,Glow Cream 50ml,LB-510,3,68.35,7.14,197.91,6.99,204.9,,Brand_KW_Exact ,Google,sess_565146,Card,true,WELCOME15
ORD-13429,19-Dec-2024,Refunded,usr_58002,customer4089@gmail.com,Cleansing Balm,LB-819,3,60.89,1.13,181.54,0,181.54,paid_search,Conversion_NightCream_Q3,meta,,Card,0,VIP25
ORD-56253,,cancelled,usr_55464,customer5088@hotmail.co.uk,SPF50 Drops,LB-656,1,61.9,9.01,52.89,3.99,56.88,referral,,(direct),sess_507965,paypal,1,
ORD-52602,09-13-2024,completed,usr_91501,customer9786@gmail.com,SPF50 Drops,LB-492,1,74.6,0,74.6,4.99,79.59,organic_search,Conversion_NightCream_Q3,tiktok,sess_968833,paypal,1,
ORD-14712,2024/09/10,refunded,usr_37946,customer5204@gmail.com,Retinol Night Cream,LB-683,3,69.82 ,0,209.46,0,209.46,direct,Welcome_Series_2,META,sess_442797,Klarna,false,
ORD-76176,2024-09-28,COMPLETED,usr_10747,customer1620@gmail.com,Glow Cream 50ml,LB-123,4,,0,143.96,0,143.96,email,RLSA_CartAbandoners,meta,sess_733814,CARD,,
ORD-20478,02-07-2024,completed,usr_15433,customer7889@gmail.com,Hyaluronic Acid Serum,LB-559,2,72.56,0,145.12,3.99,149.11,paid_search,Welcome_Series_1,,sess_294848,card,0,
ORD-35905,08-Mar-2024,completed,usr_74928,customer3083@gmail.com,Vitamin C Serum 30ml,LB-544,2,31.39,0,62.78,0,62.78,paid_social,VIP_Early_Access,google,sess_357341,card,FALSE,
